week_start_date,date,ward_id,zone,rainfall_mm,turbidity,ecoli_index,reported_cases,disease_cases,outbreak_next_week,water_quality_score,sanitation_index,temperature_avg,population_density
2024-01-01,2024-01-01,W01,North Zone,87.0,22.9,48.0,4,5,0,0.53,0.75,29.0,12450
2024-01-01,2024-01-01,W02,North Zone,105.4,20.7,38.1,6,7,1,0.6,0.8,27.8,14300
2024-01-01,2024-01-01,W03,North Zone,80.0,19.1,39.1,5,6,0,0.61,0.87,27.4,11820
2024-01-01,2024-01-01,W04,North Zone,89.7,20.9,41.8,10,12,1,0.58,0.79,27.3,15110
2024-01-01,2024-01-01,W10,North Zone,73.9,19.4,37.6,6,8,1,0.62,0.8,28.1,14800
2024-01-01,2024-01-01,W11,North Zone,104.7,24.5,51.3,8,9,0,0.5,0.71,29.6,15200
2024-01-01,2024-01-01,W12,North Zone,97.0,17.9,31.4,8,11,1,0.66,0.86,28.2,10500
2024-01-01,2024-01-01,W13,North Zone,76.4,15.6,32.5,4,6,1,0.68,0.82,28.2,13200
2024-01-01,2024-01-01,W14,North Zone,109.2,24.6,50.6,9,11,1,0.5,0.84,29.9,14100
2024-01-01,2024-01-01,W15,North Zone,88.8,17.2,30.6,7,9,0,0.67,0.89,28.3,12900
2024-01-01,2024-01-01,W18,North Zone,96.4,21.5,38.5,8,9,1,0.59,0.82,28.1,14400
2024-01-01,2024-01-01,W19,North Zone,97.4,20.8,37.4,3,4,1,0.61,0.82,29.7,12100
2024-01-01,2024-01-01,W20,North Zone,81.1,17.7,32.2,6,7,0,0.66,0.79,29.3,13900
2024-01-01,2024-01-01,W21,North Zone,94.3,21.3,39.9,10,11,1,0.59,0.84,27.5,13300
2024-01-01,2024-01-01,W25,North Zone,72.4,14.3,30.2,8,9,1,0.71,0.81,27.3,11700
2024-01-01,2024-01-01,W26,North Zone,94.8,18.6,35.9,10,11,0,0.63,0.79,28.0,13000
2024-01-01,2024-01-01,W27,North Zone,79.1,22.6,49.8,9,10,0,0.52,0.75,30.0,14900
2024-01-01,2024-01-01,W28,North Zone,109.5,21.2,43.1,15,16,1,0.57,0.91,27.5,10400
2024-01-01,2024-01-01,W29,North Zone,103.9,25.1,48.7,4,6,1,0.51,0.74,28.4,14600
2024-01-01,2024-01-01,W30,North Zone,105.0,20.2,36.6,3,4,0,0.61,0.88,28.8,12700
2024-01-01,2024-01-01,W05,East Zone,97.6,22.5,49.8,6,8,1,0.53,0.81,28.8,13640
2024-01-01,2024-01-01,W06,East Zone,78.3,15.7,32.0,7,9,0,0.68,0.86,29.4,12890
2024-01-01,2024-01-01,W07,East Zone,73.9,15.2,34.0,5,6,0,0.68,0.81,29.4,14200
2024-01-01,2024-01-01,W08,East Zone,73.9,18.6,38.4,3,4,1,0.62,0.82,28.8,13500
2024-01-01,2024-01-01,W09,East Zone,109.7,20.8,40.4,5,7,1,0.59,0.86,29.2,11900
2024-01-01,2024-01-01,W22,East Zone,75.8,21.1,37.9,5,6,1,0.6,0.8,28.2,14700
2024-01-01,2024-01-01,W23,East Zone,104.2,20.8,38.3,11,13,0,0.6,0.86,29.5,13100
2024-01-01,2024-01-01,W24,East Zone,107.9,20.7,36.6,10,12,1,0.61,0.8,30.0,12500
2024-01-01,2024-01-01,W50,East Zone,74.4,21.4,42.1,4,5,0,0.58,0.72,29.9,15500
2024-01-01,2024-01-01,W51,East Zone,75.0,19.5,41.1,11,13,0,0.6,0.75,27.5,14300
2024-01-01,2024-01-01,W52,East Zone,72.5,14.8,25.1,8,9,1,0.73,0.83,27.6,10900
2024-01-01,2024-01-01,W53,East Zone,73.8,20.6,41.5,12,13,1,0.59,0.71,30.2,15000
2024-01-01,2024-01-01,W54,East Zone,83.1,17.2,34.1,10,11,0,0.66,0.83,28.3,13200
2024-01-01,2024-01-01,W55,East Zone,96.6,19.2,42.7,8,10,0,0.6,0.78,29.8,12400
2024-01-01,2024-01-01,W56,East Zone,83.0,19.7,43.0,10,13,0,0.59,0.82,29.7,15700
2024-01-01,2024-01-01,W57,East Zone,98.9,21.9,46.6,7,9,0,0.55,0.84,28.8,14100
2024-01-01,2024-01-01,W58,East Zone,72.6,14.3,29.5,9,11,0,0.71,0.86,28.4,11300
2024-01-01,2024-01-01,W59,East Zone,111.3,22.7,43.6,3,4,0,0.56,0.78,29.1,13600
2024-01-01,2024-01-01,W60,East Zone,79.3,19.3,42.5,3,4,0,0.59,0.8,28.7,15400
2024-01-01,2024-01-01,W61,East Zone,75.6,14.8,29.3,4,5,0,0.71,0.83,27.9,12200
2024-01-01,2024-01-01,W16,West Zone,108.9,20.6,38.9,6,8,1,0.6,0.86,29.7,11500
2024-01-01,2024-01-01,W17,West Zone,100.6,24.7,49.5,5,6,1,0.51,0.75,28.8,13800
2024-01-01,2024-01-01,W33,West Zone,85.2,15.3,34.4,5,7,1,0.68,0.88,29.0,11200
2024-01-01,2024-01-01,W34,West Zone,86.6,20.6,41.8,4,5,1,0.59,0.85,28.3,14500
2024-01-01,2024-01-01,W35,West Zone,83.5,16.2,36.4,7,8,1,0.66,0.84,27.5,12000
2024-01-01,2024-01-01,W36,West Zone,109.2,22.6,45.9,6,7,1,0.54,0.85,28.1,13400
2024-01-01,2024-01-01,W37,West Zone,78.2,20.7,41.6,7,9,1,0.59,0.73,27.4,15800
2024-01-01,2024-01-01,W38,West Zone,86.0,18.6,40.5,6,8,0,0.61,0.83,30.1,10800
2024-01-01,2024-01-01,W39,West Zone,78.6,17.4,38.0,9,10,1,0.64,0.8,29.2,14000
2024-01-01,2024-01-01,W40,West Zone,87.4,18.3,40.6,8,10,0,0.61,0.79,29.1,12600
2024-01-01,2024-01-01,W41,West Zone,101.8,21.4,43.5,7,8,1,0.57,0.81,29.5,15300
2024-01-01,2024-01-01,W42,West Zone,100.9,21.7,45.3,10,11,1,0.56,0.79,28.9,13700
2024-01-01,2024-01-01,W43,West Zone,109.3,20.7,43.3,10,11,0,0.58,0.9,30.0,11000
2024-01-01,2024-01-01,W44,West Zone,106.8,23.1,47.1,6,7,1,0.53,0.73,28.4,14200
2024-01-01,2024-01-01,W45,West Zone,101.6,20.0,37.3,6,7,1,0.61,0.8,28.6,12300
