week_start_date,ward_id,reported_cases,cholera_cases,typhoid_cases,dysentery_cases,hepatitis_a_cases,hospital_reporting_rate,population_estimate,sanitation_index
2024-01-01,W01,11,3,1,5,2,0.941,40033,0.833
2024-01-01,W02,17,2,8,4,3,0.851,27644,0.555
2024-01-01,W03,8,4,2,2,0,0.826,34271,0.55
2024-01-01,W04,10,2,2,3,3,0.761,22662,0.564
2024-01-01,W05,10,1,3,1,5,0.782,21396,0.494
2024-01-01,W06,14,4,6,3,1,0.847,33431,0.431
2024-01-01,W07,13,1,1,8,3,0.866,34118,0.578
2024-01-01,W08,9,2,2,3,2,0.784,32912,0.321
2024-01-01,W09,15,2,4,4,5,0.814,29502,0.306
2024-01-01,W10,15,2,4,2,7,0.935,32802,0.607
2024-01-01,W11,19,4,2,7,6,0.873,40023,0.673
2024-01-01,W12,6,2,1,1,2,0.946,21560,0.732
2024-01-01,W13,11,3,1,3,4,0.783,36942,0.699
2024-01-01,W14,8,2,2,2,2,0.923,26877,0.829
2024-01-01,W15,11,1,0,4,6,0.857,34494,0.531
2024-01-01,W16,15,5,5,2,3,0.891,23529,0.543
2024-01-01,W17,14,4,2,3,5,0.785,21331,0.544
2024-01-01,W18,12,3,2,4,3,0.802,40882,0.505
2024-01-01,W19,6,1,1,2,2,0.876,23003,0.502
2024-01-01,W20,19,3,3,4,9,0.845,37681,0.777
2024-01-01,W21,5,1,3,1,0,0.887,27539,0.82
2024-01-01,W22,18,5,5,6,2,0.796,34488,0.329
2024-01-01,W23,12,5,4,2,1,0.801,34115,0.587
2024-01-01,W24,14,3,3,5,3,0.893,29948,0.737
2024-01-01,W25,5,1,1,1,2,0.98,20152,0.77
2024-01-01,W26,17,2,5,6,4,0.843,42728,0.571
2024-01-01,W27,12,1,5,3,3,0.85,35597,0.743
2024-01-01,W28,5,1,1,3,0,0.918,21681,0.764
2024-01-01,W29,12,4,5,1,2,0.872,32388,0.743
2024-01-01,W30,11,3,2,1,5,0.901,32225,0.722
2024-01-01,W31,11,0,3,5,3,0.931,24215,0.746
2024-01-01,W32,14,2,7,4,1,0.98,32799,0.914
2024-01-01,W33,7,2,2,2,1,0.865,16306,0.492
2024-01-01,W34,12,1,4,4,3,0.766,22526,0.374
2024-01-01,W35,14,3,3,5,3,0.866,28545,0.452
2024-01-01,W36,14,3,3,2,6,0.917,32879,0.616
2024-01-01,W37,16,1,5,6,4,0.893,32675,0.413
