week_start_date,ward_id,reported_cases,turbidity,ecoli_index,rainfall_mm,sanitation_index,population,monsoon_flag,outbreak_next_week
2024-01-01,W01,11,6.85,2.18,14.78,0.833,40033,0,0.0
2024-01-01,W02,17,6.69,3.2,0.0,0.555,27644,0,0.0
2024-01-01,W03,8,7.7,3.09,0.0,0.55,34271,0,0.0
2024-01-01,W04,10,5.19,3.28,5.15,0.564,22662,0,0.0
2024-01-01,W05,10,6.19,2.99,7.86,0.494,21396,0,0.0
2024-01-01,W06,14,6.67,3.14,0.0,0.431,33431,0,0.0
2024-01-01,W07,13,4.25,2.83,14.44,0.578,34118,0,0.0
2024-01-01,W08,9,7.4,4.27,20.26,0.321,32912,0,0.0
2024-01-01,W09,15,15.53,7.77,13.69,0.306,29502,0,0.0
2024-01-01,W10,15,4.49,3.49,6.16,0.607,32802,0,0.0
2024-01-01,W11,19,3.64,1.95,0.0,0.673,40023,0,0.0
2024-01-01,W12,6,6.44,1.56,14.13,0.732,21560,0,0.0
2024-01-01,W13,11,5.87,1.9,16.56,0.699,36942,0,0.0
2024-01-01,W14,8,7.45,2.43,3.65,0.829,26877,0,0.0
2024-01-01,W15,11,7.05,3.13,9.29,0.531,34494,0,0.0
2024-01-01,W16,15,8.28,4.22,10.56,0.543,23529,0,0.0
2024-01-01,W17,14,7.03,1.57,18.46,0.544,21331,0,0.0
2024-01-01,W18,12,7.35,4.62,1.84,0.505,40882,0,0.0
2024-01-01,W19,6,8.76,3.74,8.13,0.502,23003,0,0.0
2024-01-01,W20,19,6.75,3.19,3.69,0.777,37681,0,0.0
2024-01-01,W21,5,6.13,3.1,6.04,0.82,27539,0,0.0
2024-01-01,W22,18,6.71,3.64,0.81,0.329,34488,0,0.0
2024-01-01,W23,12,9.8,4.94,14.19,0.587,34115,0,0.0
2024-01-01,W24,14,8.99,3.33,5.12,0.737,29948,0,0.0
2024-01-01,W25,5,6.7,2.24,9.7,0.77,20152,0,0.0
2024-01-01,W26,17,8.45,3.76,13.62,0.571,42728,0,0.0
2024-01-01,W27,12,4.74,2.95,13.51,0.743,35597,0,0.0
2024-01-01,W28,5,3.08,2.36,13.54,0.764,21681,0,0.0
2024-01-01,W29,12,9.87,3.49,9.18,0.743,32388,0,0.0
2024-01-01,W30,11,7.0,4.13,11.76,0.722,32225,0,0.0
2024-01-01,W31,11,6.69,3.04,10.15,0.746,24215,0,0.0
2024-01-01,W32,14,2.77,2.03,19.56,0.914,32799,0,0.0
2024-01-01,W33,7,9.69,5.15,19.23,0.492,16306,0,0.0
2024-01-01,W34,12,8.4,5.62,18.63,0.374,22526,0,0.0
2024-01-01,W35,14,13.07,5.87,12.82,0.452,28545,0,0.0
2024-01-01,W36,14,4.38,2.39,15.92,0.616,32879,0,0.0
2024-01-01,W37,16,7.05,4.94,0.0,0.413,32675,0,0.0
2024-01-01,W38,11,6.63,3.82,15.42,0.574,32082,0,0.0
2024-01-01,W39,10,5.28,2.2,12.18,0.709,20855,0,0.0
2024-01-01,W40,17,9.76,3.92,12.61,0.502,33091,0,0.0
2024-01-01,W41,10,5.41,2.0,0.0,0.643,34894,0,0.0
2024-01-01,W42,8,9.96,5.49,10.87,0.512,17327,0,0.0
2024-01-01,W43,10,9.14,5.02,9.98,0.341,26774,0,0.0
2024-01-01,W44,9,10.73,3.76,0.55,0.613,26589,0,0.0
2024-01-01,W45,17,8.7,4.1,15.2,0.307,29243,0,0.0
2024-01-01,W46,8,12.62,5.34,14.46,0.634,23284,0,0.0
2024-01-01,W47,13,5.37,1.42,27.15,0.893,22600,0,0.0
2024-01-01,W48,9,5.01,1.61,0.0,0.924,38034,0,0.0
2024-01-01,W49,22,11.32,4.34,8.6,0.661,37797,0,0.0
2024-01-01,W50,21,5.98,3.9,0.0,0.409,28168,0,0.0
2024-01-01,W51,11,6.36,1.64,3.25,0.697,34492,0,0.0
2024-01-01,W52,8,7.37,4.01,1.76,0.627,24874,0,0.0
2024-01-01,W53,10,9.31,4.47,4.04,0.683,27183,0,0.0
2024-01-01,W54,21,11.17,6.64,1.67,0.468,30586,0,0.0
2024-01-01,W55,16,8.84,5.2,9.17,0.372,17961,0,0.0
2024-01-01,W56,9,8.18,5.7,10.63,0.401,32340,0,0.0
2024-01-01,W57,9,11.21,4.21,8.2,0.465,18987,0,0.0
2024-01-01,W58,12,5.39,2.36,9.47,0.556,19735,0,0.0
2024-01-01,W59,15,8.94,4.28,16.5,0.413,34830,0,0.0
2024-01-01,W60,5,5.82,2.92,8.75,0.701,23754,0,0.0
2024-01-01,W61,9,4.49,2.44,18.97,0.522,22022,0,0.0
2024-01-01,W62,9,9.11,2.31,10.49,0.8,36329,0,0.0
2024-01-01,W63,14,7.94,1.85,18.25,0.934,43665,0,0.0
2024-01-01,W64,9,5.0,2.13,11.87,0.925,20878,0,0.0
2024-01-01,W65,6,4.06,0.91,16.52,0.943,44920,0,0.0
2024-01-01,W66,2,4.65,1.14,4.43,0.898,23367,0,0.0
2024-01-01,W67,11,5.85,2.61,2.36,0.738,21860,0,0.0
2024-01-01,W68,21,6.59,3.39,16.47,0.634,44352,0,0.0
2024-01-01,W69,11,5.23,2.84,16.5,0.689,23411,0,0.0
2024-01-01,W70,11,8.69,4.48,9.38,0.648,30024,0,0.0
2024-01-01,W71,12,8.84,3.92,19.83,0.664,20801,0,0.0
2024-01-01,W72,21,6.42,3.56,15.74,0.337,23716,0,0.0
2024-01-01,W73,9,5.53,4.28,21.65,0.332,17368,0,0.0
2024-01-01,W74,9,8.23,4.46,5.2,0.56,28403,0,0.0
2024-01-01,W75,9,7.87,3.27,14.57,0.742,31958,0,0.0
2024-01-01,W76,8,6.64,4.37,16.78,0.317,24907,0,0.0
2024-01-01,W77,12,5.47,1.91,16.41,0.673,30328,0,0.0
2024-01-01,W78,8,9.76,4.7,10.88,0.387,15876,0,0.0
2024-01-01,W79,10,11.15,5.51,10.73,0.627,22079,0,0.0
2024-01-01,W80,17,5.28,3.05,5.84,0.614,43000,0,0.0
2024-01-01,W81,11,4.04,2.67,11.87,0.627,26230,0,0.0
2024-01-01,W82,20,5.54,1.82,5.99,0.75,44488,0,0.0
2024-01-01,W83,12,5.26,2.15,7.59,0.755,41464,0,0.0
2024-01-01,W84,9,6.31,1.11,11.19,0.927,36107,0,0.0
2024-01-01,W85,12,8.5,4.11,10.61,0.496,24662,0,0.0
2024-01-01,W86,6,7.46,3.95,7.0,0.371,16679,0,0.0
2024-01-01,W87,11,7.11,4.05,2.77,0.321,24435,0,0.0
2024-01-01,W88,12,9.59,4.56,0.96,0.344,26151,0,0.0
2024-01-01,W89,3,9.56,4.11,19.82,0.479,19452,0,0.0
2024-01-01,W90,5,6.34,4.37,5.53,0.417,17849,0,0.0
2024-01-01,W91,7,7.95,3.52,4.7,0.685,24823,0,0.0
2024-01-01,W92,9,9.8,4.23,18.82,0.725,34223,0,0.0
2024-01-01,W93,8,3.94,2.98,5.84,0.559,15851,0,0.0
2024-01-01,W94,5,9.17,3.38,5.78,0.665,19000,0,0.0
2024-01-01,W95,9,5.62,2.44,13.35,0.593,20536,0,0.0
2024-01-01,W96,13,7.56,3.7,16.17,0.47,20726,0,0.0
2024-01-01,W97,9,7.38,1.94,9.44,0.607,31281,0,0.0
2024-01-01,W98,9,6.47,2.12,14.73,0.612,18267,0,0.0
2024-01-01,W99,9,7.4,4.58,7.22,0.631,22543,0,0.0
2024-01-01,W100,14,8.36,3.49,13.41,0.491,26657,0,0.0
2024-01-08,W01,13,6.18,3.59,15.58,0.833,40033,0,0.0
2024-01-08,W02,13,4.04,2.19,1.94,0.555,27644,0,0.0
2024-01-08,W03,11,7.29,3.02,15.08,0.55,34271,0,0.0
2024-01-08,W04,9,6.58,2.39,8.0,0.564,22662,0,0.0
2024-01-08,W05,12,6.78,2.61,6.5,0.494,21396,0,0.0
2024-01-08,W06,12,3.52,3.19,12.19,0.431,33431,0,0.0
2024-01-08,W07,16,6.25,2.76,11.22,0.578,34118,0,0.0
2024-01-08,W08,11,12.67,5.39,6.72,0.321,32912,0,0.0
2024-01-08,W09,17,14.88,7.84,7.41,0.306,29502,0,0.0
2024-01-08,W10,14,6.06,2.71,17.14,0.607,32802,0,0.0
2024-01-08,W11,16,2.71,1.41,7.84,0.673,40023,0,0.0
2024-01-08,W12,7,3.74,1.97,4.87,0.732,21560,0,0.0
2024-01-08,W13,24,5.36,3.25,4.51,0.699,36942,0,0.0
2024-01-08,W14,4,5.56,2.14,0.69,0.829,26877,0,0.0
2024-01-08,W15,10,6.09,3.47,31.28,0.531,34494,0,0.0
2024-01-08,W16,12,8.23,4.17,8.93,0.543,23529,0,0.0
2024-01-08,W17,15,9.75,3.41,16.61,0.544,21331,0,0.0
2024-01-08,W18,19,5.1,3.26,18.68,0.505,40882,0,0.0
2024-01-08,W19,15,8.42,4.01,16.52,0.502,23003,0,0.0
2024-01-08,W20,10,7.16,1.95,5.53,0.777,37681,0,0.0
2024-01-08,W21,4,4.23,3.06,19.23,0.82,27539,0,0.0
2024-01-08,W22,15,5.21,2.81,0.0,0.329,34488,0,0.0
2024-01-08,W23,14,10.37,4.26,17.52,0.587,34115,0,0.0
2024-01-08,W24,18,5.7,3.16,2.09,0.737,29948,0,0.0
2024-01-08,W25,3,6.39,2.77,15.05,0.77,20152,0,0.0
2024-01-08,W26,22,9.08,4.65,8.74,0.571,42728,0,0.0
2024-01-08,W27,10,5.49,2.09,5.41,0.743,35597,0,0.0
2024-01-08,W28,10,5.05,2.11,6.21,0.764,21681,0,0.0
2024-01-08,W29,10,8.08,3.1,30.42,0.743,32388,0,0.0
2024-01-08,W30,10,7.62,2.84,5.51,0.722,32225,0,0.0
2024-01-08,W31,6,7.55,3.48,11.73,0.746,24215,0,0.0
2024-01-08,W32,3,5.03,2.12,3.35,0.914,32799,0,0.0
2024-01-08,W33,8,12.79,5.17,3.27,0.492,16306,0,0.0
2024-01-08,W34,11,11.77,4.66,8.46,0.374,22526,0,0.0
2024-01-08,W35,14,15.14,7.36,7.02,0.452,28545,0,0.0
2024-01-08,W36,14,7.14,3.94,13.11,0.616,32879,0,0.0
2024-01-08,W37,24,6.43,4.42,26.14,0.413,32675,0,0.0
2024-01-08,W38,8,8.49,4.49,10.62,0.574,32082,0,0.0
2024-01-08,W39,7,4.63,2.91,7.38,0.709,20855,0,0.0
2024-01-08,W40,14,8.64,4.3,6.88,0.502,33091,0,0.0
2024-01-08,W41,18,4.07,0.87,10.03,0.643,34894,0,0.0
2024-01-08,W42,6,13.8,6.01,10.62,0.512,17327,0,0.0
2024-01-08,W43,19,10.55,4.89,12.35,0.341,26774,0,0.0
2024-01-08,W44,10,6.61,3.05,12.96,0.613,26589,0,0.0
2024-01-08,W45,13,10.38,5.04,19.02,0.307,29243,0,0.0
2024-01-08,W46,15,13.87,4.8,6.81,0.634,23284,0,0.0
2024-01-08,W47,6,8.3,3.74,15.83,0.893,22600,0,0.0
2024-01-08,W48,5,3.17,1.26,0.0,0.924,38034,0,0.0
2024-01-08,W49,14,10.3,4.36,3.43,0.661,37797,0,0.0
2024-01-08,W50,15,5.72,4.05,18.43,0.409,28168,0,0.0
2024-01-08,W51,17,4.0,2.04,5.49,0.697,34492,0,0.0
2024-01-08,W52,5,5.66,2.47,22.76,0.627,24874,0,0.0
2024-01-08,W53,11,5.02,3.44,8.33,0.683,27183,0,0.0
2024-01-08,W54,19,10.5,5.36,12.35,0.468,30586,0,0.0
2024-01-08,W55,12,9.21,3.73,16.18,0.372,17961,0,0.0
2024-01-08,W56,17,9.12,4.63,13.27,0.401,32340,0,0.0
2024-01-08,W57,11,7.6,3.94,29.12,0.465,18987,0,0.0
2024-01-08,W58,5,5.28,3.0,9.63,0.556,19735,0,0.0
2024-01-08,W59,24,9.62,5.32,4.55,0.413,34830,0,0.0
2024-01-08,W60,12,7.53,2.64,7.31,0.701,23754,0,0.0
2024-01-08,W61,11,5.69,4.24,12.16,0.522,22022,0,0.0
2024-01-08,W62,10,6.31,3.51,4.37,0.8,36329,0,0.0
2024-01-08,W63,14,10.42,3.31,11.06,0.934,43665,0,0.0
2024-01-08,W64,3,6.32,1.27,0.0,0.925,20878,0,0.0
2024-01-08,W65,11,4.79,1.83,20.82,0.943,44920,0,0.0
2024-01-08,W66,7,2.02,1.52,15.95,0.898,23367,0,0.0
2024-01-08,W67,8,6.02,2.9,18.88,0.738,21860,0,0.0
2024-01-08,W68,27,9.21,4.09,0.0,0.634,44352,0,0.0
2024-01-08,W69,15,6.0,3.11,16.41,0.689,23411,0,0.0
2024-01-08,W70,15,9.75,3.16,6.81,0.648,30024,0,0.0
2024-01-08,W71,7,10.01,4.75,3.28,0.664,20801,0,0.0
2024-01-08,W72,12,7.19,4.35,15.56,0.337,23716,0,0.0
