week_start_date,ward_id,reported_cases,cholera_cases,typhoid_cases,dysentery_cases,hepatitis_a_cases,hospital_reporting_rate,population_estimate,sanitation_index,turbidity,ecoli_index,ph_level,chlorine_residual,water_sample_count,contamination_flag,rainfall_mm,avg_temperature,humidity_percent,flood_event_flag,monsoon_flag,zone
2024-01-01,W01,11,3,1,5,2,0.941,40033,0.833,6.85,2.18,7.91,0.513,3,0,14.78,26.9,61.9,0,0,North
2024-01-01,W02,17,2,8,4,3,0.851,27644,0.555,6.69,3.2,7.2,0.386,5,0,0.0,25.9,52.1,0,0,North
2024-01-01,W03,8,4,2,2,0,0.826,34271,0.55,7.7,3.09,8.0,0.501,4,0,0.0,22.4,48.0,0,0,North
2024-01-01,W04,10,2,2,3,3,0.761,22662,0.564,5.19,3.28,7.53,0.442,6,0,5.15,26.8,55.6,0,0,North
2024-01-01,W05,10,1,3,1,5,0.782,21396,0.494,6.19,2.99,8.15,0.47,7,0,7.86,20.7,47.8,0,0,East
2024-01-01,W06,14,4,6,3,1,0.847,33431,0.431,6.67,3.14,7.27,0.405,4,0,0.0,21.7,73.4,0,0,East
2024-01-01,W07,13,1,1,8,3,0.866,34118,0.578,4.25,2.83,7.89,0.483,5,0,14.44,25.6,74.1,0,0,East
2024-01-01,W08,9,2,2,3,2,0.784,32912,0.321,7.4,4.27,7.69,0.337,5,0,20.26,26.9,70.2,0,0,East
2024-01-01,W09,15,2,4,4,5,0.814,29502,0.306,15.53,7.77,7.59,0.566,7,1,13.69,21.2,60.4,0,0,East
2024-01-01,W10,15,2,4,2,7,0.935,32802,0.607,4.49,3.49,7.15,0.338,5,0,6.16,26.9,71.4,0,0,North
2024-01-01,W11,19,4,2,7,6,0.873,40023,0.673,3.64,1.95,8.13,0.301,4,0,0.0,25.7,59.5,0,0,North
2024-01-01,W12,6,2,1,1,2,0.946,21560,0.732,6.44,1.56,7.37,0.563,6,0,14.13,22.0,54.9,0,0,North
2024-01-01,W13,11,3,1,3,4,0.783,36942,0.699,5.87,1.9,7.11,0.608,7,0,16.56,25.9,68.0,0,0,North
2024-01-01,W14,8,2,2,2,2,0.923,26877,0.829,7.45,2.43,8.0,0.3,4,0,3.65,25.4,52.1,0,0,North
2024-01-01,W15,11,1,0,4,6,0.857,34494,0.531,7.05,3.13,7.12,0.351,5,0,9.29,23.5,69.1,0,0,North
2024-01-01,W16,15,5,5,2,3,0.891,23529,0.543,8.28,4.22,7.78,0.247,7,0,10.56,22.6,46.3,0,0,West
2024-01-01,W17,14,4,2,3,5,0.785,21331,0.544,7.03,1.57,8.08,0.324,6,0,18.46,20.6,50.0,0,0,West
2024-01-01,W18,12,3,2,4,3,0.802,40882,0.505,7.35,4.62,8.09,0.467,7,0,1.84,28.0,65.9,0,0,North
2024-01-01,W19,6,1,1,2,2,0.876,23003,0.502,8.76,3.74,7.85,0.363,5,0,8.13,20.9,55.1,0,0,North
2024-01-01,W20,19,3,3,4,9,0.845,37681,0.777,6.75,3.19,8.17,0.413,5,0,3.69,23.1,51.9,0,0,North
2024-01-01,W21,5,1,3,1,0,0.887,27539,0.82,6.13,3.1,7.25,0.475,6,0,6.04,20.3,53.4,0,0,North
2024-01-01,W22,18,5,5,6,2,0.796,34488,0.329,6.71,3.64,7.78,0.39,7,0,0.81,22.2,49.0,0,0,East
