week_start_date,ward_id,current_cases,outbreak_next_week
2024-01-01,W01,11,0
2024-01-01,W02,17,0
2024-01-01,W03,8,0
2024-01-01,W04,10,0
2024-01-01,W05,10,0
2024-01-01,W06,14,0
2024-01-01,W07,13,0
2024-01-01,W08,9,0
2024-01-01,W09,15,0
2024-01-01,W10,15,0
2024-01-01,W11,19,0
2024-01-01,W12,6,0
2024-01-01,W13,11,0
2024-01-01,W14,8,0
2024-01-01,W15,11,0
2024-01-01,W16,15,0
2024-01-01,W17,14,0
2024-01-01,W18,12,0
2024-01-01,W19,6,0
2024-01-01,W20,19,0
2024-01-01,W21,5,0
2024-01-01,W22,18,0
2024-01-01,W23,12,0
2024-01-01,W24,14,0
2024-01-01,W25,5,0
2024-01-01,W26,17,0
2024-01-01,W27,12,0
2024-01-01,W28,5,0
2024-01-01,W29,12,0
2024-01-01,W30,11,0
2024-01-01,W31,11,0
2024-01-01,W32,14,0
2024-01-01,W33,7,0
2024-01-01,W34,12,0
2024-01-01,W35,14,0
2024-01-01,W36,14,0
2024-01-01,W37,16,0
2024-01-01,W38,11,0
2024-01-01,W39,10,0
2024-01-01,W40,17,0
2024-01-01,W41,10,0
2024-01-01,W42,8,0
2024-01-01,W43,10,0
2024-01-01,W44,9,0
2024-01-01,W45,17,0
2024-01-01,W46,8,0
2024-01-01,W47,13,0
2024-01-01,W48,9,0
2024-01-01,W49,22,0
2024-01-01,W50,21,0
2024-01-01,W51,11,0
2024-01-01,W52,8,0
2024-01-01,W53,10,0
2024-01-01,W54,21,0
2024-01-01,W55,16,0
2024-01-01,W56,9,0
2024-01-01,W57,9,0
2024-01-01,W58,12,0
2024-01-01,W59,15,0
2024-01-01,W60,5,0
2024-01-01,W61,9,0
2024-01-01,W62,9,0
2024-01-01,W63,14,0
2024-01-01,W64,9,0
2024-01-01,W65,6,0
2024-01-01,W66,2,0
2024-01-01,W67,11,0
2024-01-01,W68,21,0
2024-01-01,W69,11,0
2024-01-01,W70,11,0
2024-01-01,W71,12,0
2024-01-01,W72,21,0
2024-01-01,W73,9,0
2024-01-01,W74,9,0
2024-01-01,W75,9,0
2024-01-01,W76,8,0
2024-01-01,W77,12,0
2024-01-01,W78,8,0
2024-01-01,W79,10,0
2024-01-01,W80,17,0
2024-01-01,W81,11,0
2024-01-01,W82,20,0
2024-01-01,W83,12,0
2024-01-01,W84,9,0
2024-01-01,W85,12,0
2024-01-01,W86,6,0
2024-01-01,W87,11,0
2024-01-01,W88,12,0
2024-01-01,W89,3,0
2024-01-01,W90,5,0
2024-01-01,W91,7,0
2024-01-01,W92,9,0
2024-01-01,W93,8,0
2024-01-01,W94,5,0
2024-01-01,W95,9,0
2024-01-01,W96,13,0
2024-01-01,W97,9,0
2024-01-01,W98,9,0
2024-01-01,W99,9,0
2024-01-01,W100,14,0
2024-01-08,W01,13,0
2024-01-08,W02,13,0
2024-01-08,W03,11,0
2024-01-08,W04,9,0
2024-01-08,W05,12,0
2024-01-08,W06,12,0
2024-01-08,W07,16,0
2024-01-08,W08,11,0
2024-01-08,W09,17,0
2024-01-08,W10,14,0
2024-01-08,W11,16,0
2024-01-08,W12,7,0
2024-01-08,W13,24,0
2024-01-08,W14,4,0
2024-01-08,W15,10,0
2024-01-08,W16,12,0
2024-01-08,W17,15,0
2024-01-08,W18,19,0
2024-01-08,W19,15,0
