week_start_date,ward_id,rainfall_mm,avg_temperature,humidity_percent,flood_event_flag,monsoon_flag
2024-01-01,W01,14.78,26.9,61.9,0,0
2024-01-01,W02,0.0,25.9,52.1,0,0
2024-01-01,W03,0.0,22.4,48.0,0,0
2024-01-01,W04,5.15,26.8,55.6,0,0
2024-01-01,W05,7.86,20.7,47.8,0,0
2024-01-01,W06,0.0,21.7,73.4,0,0
2024-01-01,W07,14.44,25.6,74.1,0,0
2024-01-01,W08,20.26,26.9,70.2,0,0
2024-01-01,W09,13.69,21.2,60.4,0,0
2024-01-01,W10,6.16,26.9,71.4,0,0
2024-01-01,W11,0.0,25.7,59.5,0,0
2024-01-01,W12,14.13,22.0,54.9,0,0
2024-01-01,W13,16.56,25.9,68.0,0,0
2024-01-01,W14,3.65,25.4,52.1,0,0
2024-01-01,W15,9.29,23.5,69.1,0,0
2024-01-01,W16,10.56,22.6,46.3,0,0
2024-01-01,W17,18.46,20.6,50.0,0,0
2024-01-01,W18,1.84,28.0,65.9,0,0
2024-01-01,W19,8.13,20.9,55.1,0,0
2024-01-01,W20,3.69,23.1,51.9,0,0
2024-01-01,W21,6.04,20.3,53.4,0,0
2024-01-01,W22,0.81,22.2,49.0,0,0
2024-01-01,W23,14.19,27.4,47.5,0,0
2024-01-01,W24,5.12,21.3,57.3,0,0
2024-01-01,W25,9.7,26.6,62.1,0,0
2024-01-01,W26,13.62,20.1,47.3,0,0
2024-01-01,W27,13.51,24.7,66.8,0,0
2024-01-01,W28,13.54,21.9,51.2,0,0
2024-01-01,W29,9.18,26.1,46.4,0,0
2024-01-01,W30,11.76,23.8,69.9,0,0
2024-01-01,W31,10.15,23.8,57.6,0,0
2024-01-01,W32,19.56,26.4,72.1,0,0
2024-01-01,W33,19.23,24.4,47.7,0,0
2024-01-01,W34,18.63,23.6,72.3,0,0
2024-01-01,W35,12.82,23.7,70.3,0,0
2024-01-01,W36,15.92,20.4,63.6,0,0
2024-01-01,W37,0.0,24.3,58.8,0,0
2024-01-01,W38,15.42,25.6,50.4,0,0
2024-01-01,W39,12.18,27.8,63.1,0,0
2024-01-01,W40,12.61,22.8,55.4,0,0
2024-01-01,W41,0.0,27.2,48.9,0,0
2024-01-01,W42,10.87,20.7,59.4,0,0
2024-01-01,W43,9.98,20.0,71.0,0,0
2024-01-01,W44,0.55,27.9,61.1,0,0
2024-01-01,W45,15.2,25.8,46.9,0,0
2024-01-01,W46,14.46,25.5,70.3,0,0
2024-01-01,W47,27.15,20.8,67.1,0,0
2024-01-01,W48,0.0,26.7,47.7,0,0
2024-01-01,W49,8.6,22.8,64.5,0,0
2024-01-01,W50,0.0,25.9,61.7,0,0
2024-01-01,W51,3.25,27.2,63.2,0,0
2024-01-01,W52,1.76,22.6,73.0,0,0
2024-01-01,W53,4.04,26.8,47.6,0,0
2024-01-01,W54,1.67,26.7,46.5,0,0
2024-01-01,W55,9.17,20.0,74.3,0,0
2024-01-01,W56,10.63,26.6,66.6,0,0
2024-01-01,W57,8.2,27.7,66.3,0,0
2024-01-01,W58,9.47,24.2,66.2,0,0
2024-01-01,W59,16.5,22.6,62.8,0,0
2024-01-01,W60,8.75,24.4,61.5,0,0
2024-01-01,W61,18.97,26.4,48.2,0,0
2024-01-01,W62,10.49,23.3,73.0,0,0
2024-01-01,W63,18.25,25.8,46.4,0,0
2024-01-01,W64,11.87,26.0,69.0,0,0
2024-01-01,W65,16.52,27.3,54.5,0,0
2024-01-01,W66,4.43,23.6,66.4,0,0
2024-01-01,W67,2.36,24.6,55.7,0,0
2024-01-01,W68,16.47,20.5,51.9,0,0
2024-01-01,W69,16.5,25.5,50.0,0,0
2024-01-01,W70,9.38,25.9,62.2,0,0
2024-01-01,W71,19.83,21.1,51.1,0,0
2024-01-01,W72,15.74,26.0,48.1,0,0
2024-01-01,W73,21.65,24.0,61.2,0,0
2024-01-01,W74,5.2,26.2,45.4,0,0
2024-01-01,W75,14.57,26.6,73.8,0,0
2024-01-01,W76,16.78,23.4,53.6,0,0
2024-01-01,W77,16.41,24.7,48.1,0,0
2024-01-01,W78,10.88,20.2,64.5,0,0
2024-01-01,W79,10.73,21.5,70.1,0,0
