week_start_date,ward_id,turbidity,ecoli_index,ph_level,chlorine_residual,water_sample_count,contamination_flag
2024-01-01,W01,6.85,2.18,7.91,0.513,3,0
2024-01-01,W02,6.69,3.2,7.2,0.386,5,0
2024-01-01,W03,7.7,3.09,8.0,0.501,4,0
2024-01-01,W04,5.19,3.28,7.53,0.442,6,0
2024-01-01,W05,6.19,2.99,8.15,0.47,7,0
2024-01-01,W06,6.67,3.14,7.27,0.405,4,0
2024-01-01,W07,4.25,2.83,7.89,0.483,5,0
2024-01-01,W08,7.4,4.27,7.69,0.337,5,0
2024-01-01,W09,15.53,7.77,7.59,0.566,7,1
2024-01-01,W10,4.49,3.49,7.15,0.338,5,0
2024-01-01,W11,3.64,1.95,8.13,0.301,4,0
2024-01-01,W12,6.44,1.56,7.37,0.563,6,0
2024-01-01,W13,5.87,1.9,7.11,0.608,7,0
2024-01-01,W14,7.45,2.43,8.0,0.3,4,0
2024-01-01,W15,7.05,3.13,7.12,0.351,5,0
2024-01-01,W16,8.28,4.22,7.78,0.247,7,0
2024-01-01,W17,7.03,1.57,8.08,0.324,6,0
2024-01-01,W18,7.35,4.62,8.09,0.467,7,0
2024-01-01,W19,8.76,3.74,7.85,0.363,5,0
2024-01-01,W20,6.75,3.19,8.17,0.413,5,0
2024-01-01,W21,6.13,3.1,7.25,0.475,6,0
2024-01-01,W22,6.71,3.64,7.78,0.39,7,0
2024-01-01,W23,9.8,4.94,7.47,0.283,4,0
2024-01-01,W24,8.99,3.33,7.42,0.401,7,0
2024-01-01,W25,6.7,2.24,7.14,0.269,4,0
2024-01-01,W26,8.45,3.76,7.64,0.509,5,0
2024-01-01,W27,4.74,2.95,7.02,0.414,7,0
2024-01-01,W28,3.08,2.36,6.86,0.376,6,0
2024-01-01,W29,9.87,3.49,7.82,0.464,6,0
2024-01-01,W30,7.0,4.13,7.53,0.376,3,0
2024-01-01,W31,6.69,3.04,8.18,0.472,5,0
2024-01-01,W32,2.77,2.03,8.08,0.456,6,0
2024-01-01,W33,9.69,5.15,6.89,0.389,5,1
